"PTES";"ESP";"METER";"ACCOUNT_NO";"EARLIEST_OCCURRED_TIME";"LATEST_OCCURRED_TIME";"EVENT_NAME";"EVENT_CODE"
Qashqadaryo HETK;Kasbi TETK;"121205476791";"0030448";"2024-07-31 05:26:17";"2024-07-31 22:00:06";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Kitob TETK;"121206188611";"0092070";"2024-07-31 11:44:56";"2024-07-31 11:44:56";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Kitob TETK;"121206188615";"0092264";"2024-07-31 14:15:52";"2024-07-31 14:15:52";Terminal cover opened;"0050"
Qashqadaryo HETK;Kitob TETK;"121206188615";"0092264";"2024-07-31 14:15:37";"2024-07-31 16:47:30";Main cover opened;"0040"
Qashqadaryo HETK;Kitob TETK;"121206245043";"0092064";"2024-07-31 21:28:45";"2024-07-31 22:04:20";Current unbalance occurrence;"0030"
Toshkent HETK;Chinoz TETK;"111210179554";"509044";"2024-07-31 15:55:12";"2024-07-31 15:57:22";Terminal cover opened;"0050"
Qashqadaryo HETK;Shahrisabz TETK;EX-2514882;"0291038";"2024-07-31 18:47:21";"2024-07-31 18:47:21";Terminal cover opened;"0050"
Qashqadaryo HETK;Dehqonobod TETK;"121206344772";"00900181";"2024-07-30 17:07:09";"2024-07-30 17:07:09";Terminal cover opened;"0050"
Toshkent HETK;Zafar ShETK;"111210466153";"0902316";"2024-07-31 07:06:10";"2024-08-01 14:09:15";Terminal cover opened;"0050"
TEST PTES;TEST MES;"124200400552";TShMET-0400552;"2024-06-02 22:13:34";"2024-06-02 22:29:51";L2 Current without voltage occurrence;"0110"
TEST PTES;TEST MES;"124200400422";TShMET-0400422;"2024-07-15 00:39:24";"2024-07-15 00:39:24";L2 Current without voltage occurrence;"0110"
TEST PTES;TEST MES;"124200401264";TShMET-0401264;"2024-07-15 00:39:31";"2024-07-15 00:39:31";L2 Current without voltage occurrence;"0110"
TEST PTES;TEST MES;"124200401268";TShMET-0401268;"2024-07-15 00:39:30";"2024-07-15 00:39:30";L2 Current without voltage occurrence;"0110"
Samarqand HETK;Samarqand ShETK (Bog‘ishamol);"124200545420";"00001!124200545420";"2024-04-21 10:18:55";"2024-05-01 11:18:28";Terminal cover opened;"0050"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206803069";"0292894";"2024-07-31 20:29:26";"2024-07-31 20:29:26";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206803071";"0292887";"2024-07-31 08:48:49";"2024-07-31 08:48:49";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206803365";"0292878";"2024-07-30 18:58:14";"2024-07-30 18:58:14";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111210215849";"4576088";"2024-07-31 10:00:37";"2024-07-31 10:00:37";Terminal cover opened;"0050"
Namangan HETK;Pop TETK;"111201117215";"3246005";"2024-08-01 14:45:08";"2024-08-01 14:45:08";Current unbalance occurrence;"0030"
Andijon HETK;Baliqchi TETK;"121205040406";"7359112";"2024-07-31 07:07:15";"2024-07-31 17:49:54";Current unbalance occurrence;"0030"
Andijon HETK;Izboskan TETK;"121206059255";"3034116";"2024-07-31 10:29:43";"2024-07-31 20:12:05";Current unbalance occurrence;"0030"
Andijon HETK;Baliqchi TETK;"121205039791";"7062142";"2024-08-01 14:30:19";"2024-08-01 14:45:33";Main cover opened;"0040"
Andijon HETK;Qo‘rg‘ontepa TETK;"121205586720";"4020023";"2024-08-01 14:32:39";"2024-08-01 14:40:37";Terminal cover opened;"0050"
Andijon HETK;Izboskan TETK;"121206055099";"2072509";"2024-07-31 14:04:43";"2024-07-31 22:59:27";Current unbalance occurrence;"0030"
Andijon HETK;Izboskan TETK;"121206542817";"1019624";"2024-07-30 21:41:03";"2024-07-31 20:25:20";Current unbalance occurrence;"0030"
Namangan HETK;Pop TETK;"111200671296";"2219008";"2024-08-01 14:43:28";"2024-08-01 14:43:28";Current unbalance occurrence;"0030"
Andijon HETK;Baliqchi TETK;"121205104950";"7065194";"2024-07-30 20:57:32";"2024-07-30 21:31:48";Current unbalance occurrence;"0030"
Andijon HETK;Baliqchi TETK;"121205104953";"7204037";"2024-07-31 06:55:57";"2024-07-31 06:55:57";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi ShETK;"121206965371";"0133147";"2024-08-01 13:57:14";"2024-08-01 13:57:14";Terminal cover opened;"0050"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;EX-3163372;"1909168";"2024-07-31 01:36:36";"2024-07-31 01:36:36";Terminal cover opened;"0050"
Toshkent shahar ETK;Sergeli TETK;"121206892060";"1921203";"2024-07-31 02:54:39";"2024-07-31 20:35:46";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121206548363";"0834742";"2024-07-31 13:14:34";"2024-07-31 13:14:34";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111230265708";"822149";"2024-08-01 09:24:34";"2024-08-01 11:12:57";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111200338858";"4329083";"2024-08-01 14:43:28";"2024-08-01 14:43:28";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111220035331";"4432017";"2024-07-30 01:08:15";"2024-08-01 12:26:59";Terminal cover opened;"0050"
Toshkent shahar ETK;Yunusobod TETK;"121205299799";"1314134";"2024-07-31 01:54:23";"2024-07-31 23:46:39";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205300103";"0443088";"2024-07-30 13:42:53";"2024-07-31 10:27:16";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205300141";"0443181";"2024-07-31 09:05:15";"2024-07-31 09:05:15";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205300199";"0443167";"2024-07-31 01:06:08";"2024-07-31 23:37:12";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205300207";"0443110";"2024-07-31 08:33:46";"2024-07-31 19:09:04";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205300479";"0443199";"2024-07-31 08:01:05";"2024-07-31 17:30:32";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205301613";"1314167";"2024-07-31 22:26:18";"2024-07-31 23:02:53";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205301915";"0443190";"2024-07-31 00:03:13";"2024-07-31 06:13:12";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205302267";"0443197";"2024-07-31 22:11:12";"2024-07-31 22:11:12";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205398650";"173129";"2024-07-31 09:12:39";"2024-07-31 09:12:39";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205578585";"145076";"2024-07-31 06:54:19";"2024-07-31 23:50:26";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111230252680";"824325";"2024-07-30 15:10:10";"2024-07-30 15:10:10";Terminal cover opened;"0050"
Qashqadaryo HETK;Nishon TETK;"121205553665";"0550005";"2024-07-31 09:29:32";"2024-08-01 13:22:46";Terminal cover opened;"0050"
Qashqadaryo HETK;Nishon TETK;"121205553558";"0520095";"2024-07-31 00:31:28";"2024-07-31 10:22:49";Terminal cover opened;"0050"
Namangan HETK;Chust TETK;"111240290748";"4650092";"2024-07-31 07:20:51";"2024-07-31 07:20:51";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111200401066";"4120070";"2024-08-01 14:45:12";"2024-08-01 14:45:12";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111230276245";"4776069";"2024-07-30 05:49:26";"2024-07-30 05:49:26";Terminal cover opened;"0050"
Farg‘ona HETK;So‘x TETK;"111200356990";"0090152";"2024-08-01 14:45:55";"2024-08-01 14:45:55";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"121205689138";"2170014";"2024-07-31 01:01:30";"2024-07-31 19:29:01";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"121205742361";"2120010";"2024-07-31 01:01:34";"2024-07-31 23:32:50";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"121205743886";"2120115";"2024-07-31 06:05:27";"2024-07-31 19:06:04";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111220154244";"4389020";"2024-08-01 14:46:29";"2024-08-01 14:46:29";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111230262137";"4193054";"2024-07-31 00:34:21";"2024-08-01 14:45:26";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111200437509";"4143026";"2024-08-01 14:43:20";"2024-08-01 14:43:20";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111200443711";"4146090";"2024-08-01 14:43:29";"2024-08-01 14:43:29";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111230266224";"4533071";"2024-08-01 09:05:30";"2024-08-01 09:05:30";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"121205203809";"8070762";"2024-07-31 08:22:44";"2024-07-31 20:23:23";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"121205204475";"8070803";"2024-07-31 05:46:45";"2024-07-31 13:34:02";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"121205205462";"8070761";"2024-07-31 08:54:23";"2024-07-31 20:23:26";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111200402617";"4126075";"2024-07-30 14:32:54";"2024-07-30 14:32:54";Terminal cover opened;"0050"
Namangan HETK;Chust TETK;"111210852940";"824012";"2024-07-31 17:27:39";"2024-07-31 17:27:39";Terminal cover opened;"0050"
Namangan HETK;Chust TETK;"111200436066";"4173063";"2024-08-01 14:08:23";"2024-08-01 14:08:23";Terminal cover opened;"0050"
Qashqadaryo HETK;Nishon TETK;"121205169105";"220122";"2024-07-31 00:28:49";"2024-07-31 04:09:36";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"121205146979";"3091122";"2024-07-31 09:36:33";"2024-07-31 12:03:15";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"124200363211";"220504";"2024-08-01 12:58:41";"2024-08-01 12:58:41";Terminal cover opened;"0050"
Namangan HETK;Chust TETK;"111200471192";"4321008";"2024-07-30 10:37:29";"2024-07-30 10:37:29";Terminal cover opened;"0050"
Qashqadaryo HETK;Nishon TETK;"121205333357";"8060580";"2024-07-31 20:28:04";"2024-07-31 20:28:04";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121205287155";"0423694";"2024-07-31 20:59:40";"2024-07-31 20:59:40";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"121205204056";"3080809";"2024-07-31 15:38:27";"2024-07-31 15:38:27";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111200471590";"4276093";"2024-07-30 22:29:43";"2024-07-30 22:29:43";Terminal cover opened;"0050"
Namangan HETK;Chust TETK;"111200474767";"4441091";"2024-08-01 14:45:38";"2024-08-01 14:45:38";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111200500735";"4273032";"2024-08-01 14:43:47";"2024-08-01 14:43:47";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111200471164";"4272072";"2024-08-01 14:43:30";"2024-08-01 14:43:30";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111230267170";"14237!!+!0267170";"2024-07-31 13:28:07";"2024-07-31 23:12:41";Current unbalance occurrence;"0030"
Namangan HETK;Chust TETK;"111220069461";"4299068";"2024-08-01 14:43:59";"2024-08-01 14:43:59";Current unbalance occurrence;"0030"
Toshkent HETK;O‘rtachirchiq TETK;"111210629045";"2225436";"2024-06-29 17:59:09";"2024-06-29 17:59:09";Terminal cover opened;"0050"
Qashqadaryo HETK;Nishon TETK;"121205082251";"4211937";"2024-07-31 07:41:08";"2024-07-31 23:01:06";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"121205083519";"4211968";"2024-07-31 01:01:51";"2024-07-31 20:31:45";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Nishon TETK;"121205084496";"4211931";"2024-07-31 01:14:06";"2024-07-31 01:14:06";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205863943";"0213331";"2024-07-30 08:21:28";"2024-07-31 08:36:57";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206558747";"0213030";"2024-07-30 12:47:27";"2024-07-31 19:29:20";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206840005";"0213037";"2024-07-30 00:16:47";"2024-07-31 21:25:23";Terminal cover opened;"0050"
Namangan HETK;Chust TETK;"114210105685";"000227079";"2024-07-30 04:46:02";"2024-07-30 04:58:52";L2 Current without voltage occurrence;"0110"
Namangan HETK;Chust TETK;"111190353937";"4644025";"2024-07-30 09:36:19";"2024-07-30 09:36:19";Terminal cover opened;"0050"
Qashqadaryo HETK;Nishon TETK;"121205653835";"2030244";"2024-07-31 05:58:29";"2024-07-31 21:17:59";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205494103";"0680568";"2024-07-30 04:46:07";"2024-07-31 23:25:28";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205798767";"0680588";"2024-07-30 14:07:58";"2024-07-31 22:21:20";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205823466";"0680591";"2024-07-30 20:55:52";"2024-07-31 23:30:40";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Ko‘kdala TETK;"121206446957";"1017173";"2024-07-31 11:09:09";"2024-07-31 22:46:31";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Ko‘kdala TETK;"121206600463";T6600463;"2024-07-31 06:32:17";"2024-07-31 18:28:33";Current unbalance occurrence;"0030"
Sirdaryo HETK;Sayxunobod TETK;"114230191443";-1;"2023-11-27 15:45:30";"2023-11-27 15:45:30";Terminal cover opened;"0050"
Sirdaryo HETK;Sayxunobod TETK;"113230207615";-1;"2023-11-10 11:24:45";"2024-07-01 16:31:05";Terminal cover opened;"0050"
Qashqadaryo HETK;Ko‘kdala TETK;"121206455115";"1017180";"2024-07-31 17:24:00";"2024-07-31 21:14:37";Current unbalance occurrence;"0030"
Qoraqalpoq HETK;Nukus ShETK;"124200355599";-1;"2023-04-28 09:01:35";"2023-04-28 09:01:35";Terminal cover opened;"0050"
Qashqadaryo HETK;Kitob TETK;"121206345551";"0082516";"2024-07-31 06:49:00";"2024-07-31 06:49:00";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Ko‘kdala TETK;"121205141482";"1026414";"2024-07-31 06:22:08";"2024-07-31 20:37:32";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Ko‘kdala TETK;"121206510313";"1090338";"2024-07-31 19:55:47";"2024-08-01 14:45:13";Terminal cover opened;"0050"
Qashqadaryo HETK;Ko‘kdala TETK;"121206124168";"1110043";"2024-07-31 05:39:12";"2024-07-31 06:39:14";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Ko‘kdala TETK;"123200467779";-1;"2024-01-29 16:00:53";"2024-01-29 16:00:53";Terminal cover opened;"0050"
Qashqadaryo HETK;Qarshi ShETK;EX-2749056;"0795692";"2024-07-30 17:27:56";"2024-07-30 17:27:56";Terminal cover opened;"0050"
Qashqadaryo HETK;Muborak TETK;"121205593289";"00200210";"2024-07-31 07:33:38";"2024-07-31 10:32:42";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"121206722088";"00081327";"2024-07-31 22:13:50";"2024-07-31 22:13:50";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205204917";"0021501";"2024-07-30 20:21:03";"2024-07-31 05:55:45";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205973705";"0025316";"2024-07-31 06:14:23";"2024-07-31 20:23:02";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi ShETK;"121206097714";"492501";"2024-07-31 01:00:41";"2024-07-31 08:21:10";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206471359";"0019500";"2024-07-31 09:16:34";"2024-07-31 20:52:07";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205201196";"0038257";"2024-07-31 00:53:02";"2024-07-31 08:00:40";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205201201";"0037217";"2024-07-31 09:52:51";"2024-07-31 20:32:12";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205201205";"0037232";"2024-07-31 04:51:30";"2024-07-31 21:41:16";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205204142";"0038219";"2024-07-31 06:45:26";"2024-07-31 06:45:26";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205205235";"0038220";"2024-07-31 07:17:28";"2024-07-31 20:11:56";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Kasbi TETK;"121206183825";"0113270";"2024-07-31 22:51:32";"2024-07-31 22:51:32";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Kasbi TETK;"121206183825";"0113270";"2024-07-31 21:45:46";"2024-07-31 21:45:46";Terminal cover opened;"0050"
Qashqadaryo HETK;Chiroqchi TETK;"121205146611";"0029155";"2024-07-31 22:02:40";"2024-07-31 22:02:40";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206521878";"00261249";"2024-07-31 03:59:24";"2024-07-31 21:58:14";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205698156";"0090271";"2024-07-31 08:43:55";"2024-07-31 08:43:55";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"121205445061";"00170601";"2024-07-30 14:44:31";"2024-07-30 23:20:56";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205144469";"0201145";"2024-07-30 08:04:51";"2024-07-31 23:50:01";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206622141";"0274103";"2024-07-31 07:55:11";"2024-07-31 08:42:52";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"121205749943";"00090103";"2024-07-31 06:51:30";"2024-07-31 19:31:59";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"121206576765";"00020165";"2024-07-31 07:15:37";"2024-07-31 07:15:37";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205493117";"0267103";"2024-07-30 00:10:30";"2024-07-30 12:26:33";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206918819";"0338793";"2024-07-29 01:26:07";"2024-07-30 20:59:32";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206918825";"0338791";"2024-07-29 02:12:41";"2024-07-30 23:31:53";Current unbalance occurrence;"0030"
Andijon HETK;Andijon Bobur SHETK;"123200421928";"4505030";"2024-08-01 14:33:54";"2024-08-01 14:44:51";Terminal cover opened;"0050"
Qashqadaryo HETK;Koson TETK;"121205784206";"00810989";"2024-08-01 09:57:38";"2024-08-01 09:57:38";Terminal cover opened;"0050"
Qashqadaryo HETK;Koson TETK;"121206400458";"00811762";"2024-07-31 12:08:55";"2024-07-31 12:08:55";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205844660";"0064024";"2024-07-31 21:07:49";"2024-07-31 21:07:49";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi ShETK;"121205858199";"0335496";"2024-07-31 01:02:13";"2024-07-31 19:43:01";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Sergeli TETK;EX-2397168;"1834509";"2024-07-31 15:45:41";"2024-07-31 15:45:41";Terminal cover opened;"0050"
Namangan HETK;Namangan ShETK (Do‘stlik);"111240277601";"5035287";"2024-08-01 10:10:56";"2024-08-01 10:10:56";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205335662";"0068903";"2024-07-31 10:21:42";"2024-07-31 20:00:31";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"121205450064";"00210066";"2024-07-31 17:15:58";"2024-07-31 17:15:58";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi TETK;"121205747861";"00570389";"2024-07-31 00:38:12";"2024-07-31 22:59:17";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi TETK;"121206964907";"00550799";"2024-07-31 06:23:04";"2024-07-31 14:52:12";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"121205555356";"00083789";"2024-07-30 12:15:47";"2024-07-30 16:16:13";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"121205592899";"00082036";"2024-07-30 16:31:38";"2024-07-31 08:25:50";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"121205655713";"00081336";"2024-07-29 16:33:19";"2024-07-30 22:38:42";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"121205655715";"00081581";"2024-08-01 09:35:09";"2024-08-01 09:40:14";Main cover opened;"0040"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205844678";"0091103";"2024-07-31 03:33:03";"2024-07-31 18:39:19";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205780560";"0090079";"2024-07-31 15:06:28";"2024-07-31 17:15:44";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205780722";"0091268";"2024-07-31 19:35:24";"2024-07-31 19:35:24";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205144204";"0186061";"2024-07-30 16:49:04";"2024-07-31 20:03:26";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205280227";"0187102";"2024-07-30 16:58:22";"2024-07-30 16:58:22";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206372600";"0187241";"2024-07-31 17:12:39";"2024-07-31 17:12:39";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206409171";"0196839";"2024-07-30 22:07:13";"2024-07-30 22:07:13";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205331369";"0199481";"2024-07-30 07:21:10";"2024-07-31 10:50:15";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205449218";"0197017";"2024-07-31 06:25:02";"2024-07-31 19:32:40";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206482543";"0197010";"2024-07-31 20:56:51";"2024-07-31 20:56:51";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206567356";"300012";"2024-07-31 19:45:10";"2024-07-31 19:45:10";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206101105";"0075093";"2024-07-31 06:36:47";"2024-07-31 18:45:38";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206437275";"0078120";"2024-07-31 03:38:24";"2024-07-31 21:01:19";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206514537";"0078210";"2024-07-31 00:23:16";"2024-07-31 07:49:23";Current unbalance occurrence;"0030"
Namangan HETK;Namangan ShETK (Do‘stlik);"111240310875";"508514";"2024-07-31 16:00:52";"2024-07-31 16:00:52";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206658670";"0244298";"2024-07-31 05:35:58";"2024-07-31 06:45:23";Current unbalance occurrence;"0030"
Andijon HETK;Asaka TETK;"121206949629";"4150078";"2024-07-31 05:48:37";"2024-07-31 18:28:53";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Koson TETK;"121205782023";"00661779";"2024-07-31 07:22:53";"2024-07-31 23:56:12";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205895329";"0047558";"2024-07-30 08:38:36";"2024-07-30 08:38:36";Terminal cover opened;"0050"
Qashqadaryo HETK;Muborak TETK;"121205635058";"00081826";"2024-07-31 16:03:04";"2024-07-31 22:36:21";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"121206476437";"180233";"2024-07-31 08:45:10";"2024-07-31 22:14:06";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Muborak TETK;"123200437678";"380788";"2024-07-31 15:52:54";"2024-07-31 15:52:54";L2 Current without voltage occurrence;"0110"
Qashqadaryo HETK;Yakkabog‘ TETK;"121205546685";"0068782";"2024-07-30 05:58:53";"2024-07-30 22:20:31";Current unbalance occurrence;"0030"
